"user_id","num_clicks","num_sessions","avg_session_duration","age","married","has_children","nights","rooms","num_seats","checkedin_bags","trip_length_days","num_trips","num_flights2","flight_original_price","discounted_flight","hotel_original_price","discounted_hotel","days_until_departure","distance_km","trip_length_category","hotel_spend_category","trip_frequency_category","persona_type","user_id","perks"
"509841","126","8","117.00","47","true","true","4","3","3","3","18","3","6","4828","13519","1031","1031","210","16254.011432685245","Long Trip","Medium Spender","Frequent Traveler","Family","509841","no cancellation fees"
"542418","443","8","1125.88","49","false","false","4","6","3","3","8","3","6","601","1804","1064","989","17","1701.7291239382384","Medium Trip","Medium Spender","Frequent Traveler","Groups","542418","1 night free hotel with meals"
"643645","121","8","112.88","47","true","true","6","4","3","3","9","4","6","2211","8292","1366","1366","20","9293.376910567229","Medium Trip","Medium Spender","Frequent Traveler","Family","643645","no cancellation fees"
"647674","122","8","113.00","37","false","true","7","5","3","3","7","4","6","1085","4340","1326","1296","22","5864.795133972321","Medium Trip","Medium Spender","Frequent Traveler","Family2","647674","exclusive discounts and family adventure tour"
"531217","139","8","130.25","52","true","true","3","3","4","4","6","4","8","1381","5318","531","531","34","8114.54282307806","Medium Trip","Medium Spender","Frequent Traveler","Family","531217","no cancellation fees"
"614933","104","8","96.88","55","true","false","8","2","2","2","10","2","4","822","1643","1710","1710","15","4663.802564996129","Medium Trip","Medium Spender","Frequent Traveler","Couple","614933","couple massage"
"540244","180","8","167.00","38","false","false","6","3","4","4","11","4","8","1698","6790","1062","1028","28","9344.719104807373","Long Trip","Medium Spender","Frequent Traveler","Groups","540244","1 night free hotel with meals"
"590954","122","8","113.63","46","true","false","7","4","3","3","10","3","6","1567","4700","774","754","21","5783.114988459942","Medium Trip","Medium Spender","Frequent Traveler","Groups","590954","1 night free hotel with meals"
"538529","188","8","174.88","41","false","false","6","3","3","3","9","3","6","750","2137","922","922","23","4320.858412548579","Medium Trip","Medium Spender","Frequent Traveler","Groups","538529","1 night free hotel with meals"
"512999","112","8","103.63","34","true","false","3","2","3","3","11","3","6","1543","4630","503","503","17","8107.892949884087","Long Trip","Medium Spender","Frequent Traveler","Groups","512999","1 night free hotel with meals"
